theta1_deg,theta2_deg,det_j
20.0,-180.0,-0.0000000000
20.0,-175.5,-0.0074143845
20.0,-171.0,-0.0147830569
20.0,-166.5,-0.0220605869
20.0,-162.0,-0.0292021060
20.0,-157.5,-0.0361635844
20.0,-153.0,-0.0429021022
20.0,-148.5,-0.0493761144
20.0,-144.0,-0.0555457063
20.0,-139.5,-0.0613728406
20.0,-135.0,-0.0668215908
20.0,-130.5,-0.0718583637
20.0,-126.0,-0.0764521060
20.0,-121.5,-0.0805744955
20.0,-117.0,-0.0842001165
20.0,-112.5,-0.0873066158
20.0,-108.0,-0.0898748408
20.0,-103.5,-0.0918889575
20.0,-99.0,-0.0933365482
20.0,-94.5,-0.0942086880
20.0,-90.0,-0.0945000000
20.0,-85.5,-0.0942086880
20.0,-81.0,-0.0933365482
20.0,-76.5,-0.0918889575
20.0,-72.0,-0.0898748408
20.0,-67.5,-0.0873066158
20.0,-63.0,-0.0842001165
20.0,-58.5,-0.0805744955
20.0,-54.0,-0.0764521060
20.0,-49.5,-0.0718583637
20.0,-45.0,-0.0668215908
20.0,-40.5,-0.0613728406
20.0,-36.0,-0.0555457063
20.0,-31.5,-0.0493761144
20.0,-27.0,-0.0429021022
20.0,-22.5,-0.0361635844
20.0,-18.0,-0.0292021060
20.0,-13.5,-0.0220605869
20.0,-9.0,-0.0147830569
20.0,-4.5,-0.0074143845
20.0,0.0,-0.0000000000
20.0,4.5,0.0074143845
20.0,9.0,0.0147830569
20.0,13.5,0.0220605869
20.0,18.0,0.0292021060
20.0,22.5,0.0361635844
20.0,27.0,0.0429021022
20.0,31.5,0.0493761144
20.0,36.0,0.0555457063
20.0,40.5,0.0613728406
20.0,45.0,0.0668215908
20.0,49.5,0.0718583637
20.0,54.0,0.0764521060
20.0,58.5,0.0805744955
20.0,63.0,0.0842001165
20.0,67.5,0.0873066158
20.0,72.0,0.0898748408
20.0,76.5,0.0918889575
20.0,81.0,0.0933365482
20.0,85.5,0.0942086880
20.0,90.0,0.0945000000
20.0,94.5,0.0942086880
20.0,99.0,0.0933365482
20.0,103.5,0.0918889575
20.0,108.0,0.0898748408
20.0,112.5,0.0873066158
20.0,117.0,0.0842001165
20.0,121.5,0.0805744955
20.0,126.0,0.0764521060
20.0,130.5,0.0718583637
20.0,135.0,0.0668215908
20.0,139.5,0.0613728406
20.0,144.0,0.0555457063
20.0,148.5,0.0493761144
20.0,153.0,0.0429021022
20.0,157.5,0.0361635844
20.0,162.0,0.0292021060
20.0,166.5,0.0220605869
20.0,171.0,0.0147830569
20.0,175.5,0.0074143845
20.0,180.0,0.0000000000
