method,target_idx,iterations,error_norm
pinv,0,0,0.1960229578
dls,0,15,0.0000060572
pinv,1,6,0.0000069075
dls,1,8,0.0000063194
pinv,2,6,0.0000069235
dls,2,8,0.0000070801
pinv,3,6,0.0000069351
dls,3,8,0.0000079695
pinv,4,6,0.0000069480
dls,4,8,0.0000090430
pinv,5,6,0.0000069624
dls,5,9,0.0000046809
pinv,6,6,0.0000069757
dls,6,9,0.0000055053
pinv,7,6,0.0000069939
dls,7,9,0.0000065780
pinv,8,6,0.0000070150
dls,8,9,0.0000080008
pinv,9,6,0.0000070398
dls,9,9,0.0000099401
pinv,10,6,0.0000070696
dls,10,10,0.0000063408
pinv,11,6,0.0000071022
dls,11,10,0.0000085754
pinv,12,6,0.0000071468
dls,12,11,0.0000064558
pinv,13,6,0.0000072012
dls,13,11,0.0000099912
pinv,14,6,0.0000072783
dls,14,12,0.0000096797
pinv,15,6,0.0000073842
dls,15,14,0.0000070860
pinv,16,6,0.0000075457
dls,16,16,0.0000078223
pinv,17,6,0.0000078330
dls,17,20,0.0000077954
pinv,18,6,0.0000084802
dls,18,29,0.0000088249
pinv,19,7,0.0000035249
dls,19,86,0.0000094500
